playerID,yearID,G,G_batting,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_old,teamID,lgID,birthYear,nameFirst,nameLast,weight,height,PA,AVG,OBP,SLG,OPS,ISO,BABIP,BB_pct,K_pct,BMI,age,name,OPS_avg_available,trend_slope,trend_diff,volatility_std,volatility_cv,years_data,is_rookie,BMI_age_interaction,age_HR_interaction,BMI_SB_interaction,age_squared,debut_year,experience,is_peak_years,bats_B,bats_L,bats_R,POS_1B,POS_2B,POS_3B,POS_C,POS_DH,POS_OF,POS_P,POS_SS
aaronha01,1954,122,0.0,468,58,131,27,6,13,69.0,2.0,2.0,28,39.0,0.0,3.0,6.0,4.0,13.0,0.0,ML1,NL,1934.0,Hank,Aaron,180.0,72.0,509.0,0.2799145299145299,0.3220675944333996,0.4465811965811966,0.7686487910145963,0.16666666666666669,0.28095238095238095,0.0550098231827112,0.07662082514734773,24.41211826868098,20.0,Hank Aaron,0.7344215351173983,-0.07422253234881736,-0.05048278014543295,0.06928064574518876,0.09433362508101584,23,False,488.24236537361963,260.0,48.82423653736196,400.0,1954,0,0,False,False,True,False,False,False,False,False,True,False,False
aaronha01,1955,153,0.0,602,105,189,37,9,27,106.0,3.0,1.0,49,61.0,5.0,3.0,7.0,4.0,20.0,0.0,ML1,NL,1934.0,Hank,Aaron,180.0,72.0,665.0,0.313953488372093,0.3662613981762918,0.5398671096345515,0.9061285078108433,0.2259136212624585,0.3127413127413127,0.07368421052631578,0.09172932330827067,24.41211826868098,21.0,Hank Aaron,0.7344215351173983,-0.07422253234881736,-0.05048278014543295,0.06928064574518876,0.09433362508101584,23,False,512.6544836423006,567.0,73.23635480604294,441.0,1954,1,0,False,False,True,False,False,False,False,False,True,False,False
aaronha01,1956,153,0.0,609,106,200,34,14,26,92.0,2.0,4.0,37,54.0,6.0,2.0,5.0,7.0,21.0,0.0,ML1,NL,1934.0,Hank,Aaron,180.0,72.0,660.0,0.3284072249589491,0.3648854961832061,0.5582922824302134,0.9231777786134195,0.22988505747126436,0.3246268656716418,0.05606060606060606,0.08181818181818182,24.41211826868098,22.0,Hank Aaron,0.7344215351173983,-0.07422253234881736,-0.05048278014543295,0.06928064574518876,0.09433362508101584,23,False,537.0666019109816,572.0,48.82423653736196,484.0,1954,2,0,False,False,True,False,False,False,False,False,True,False,False
aaronha01,1957,151,0.0,615,118,198,27,6,44,132.0,1.0,1.0,57,58.0,15.0,0.0,0.0,3.0,13.0,0.0,ML1,NL,1934.0,Hank,Aaron,180.0,72.0,675.0,0.32195121951219513,0.37777777777777777,0.6,0.9777777777777777,0.27804878048780485,0.29844961240310075,0.08444444444444445,0.08592592592592592,24.41211826868098,23.0,Hank Aaron,0.7344215351173983,-0.07422253234881736,-0.05048278014543295,0.06928064574518876,0.09433362508101584,23,False,561.4787201796626,1012.0,24.41211826868098,529.0,1954,3,0,False,False,True,False,False,False,False,False,True,False,False
aaronha01,1958,153,0.0,601,109,196,34,4,30,95.0,4.0,1.0,59,49.0,16.0,1.0,0.0,3.0,21.0,0.0,ML1,NL,1934.0,Hank,Aaron,180.0,72.0,664.0,0.3261231281198003,0.3855421686746988,0.5457570715474209,0.9312992402221197,0.2196339434276206,0.3161904761904762,0.08885542168674698,0.07379518072289157,24.41211826868098,24.0,Hank Aaron,0.7344215351173983,-0.07422253234881736,-0.05048278014543295,0.06928064574518876,0.09433362508101584,23,False,585.8908384483435,720.0,97.64847307472392,576.0,1954,4,0,False,False,True,False,False,False,False,False,True,False,False
aaronha01,1959,154,0.0,629,116,223,46,7,39,123.0,8.0,0.0,51,54.0,17.0,4.0,0.0,9.0,19.0,0.0,ML1,NL,1934.0,Hank,Aaron,180.0,72.0,693.0,0.35453100158982515,0.40115440115440115,0.6359300476947536,1.0370844488491548,0.28139904610492844,0.3376146788990826,0.0735930735930736,0.07792207792207792,24.41211826868098,25.0,Hank Aaron,0.7344215351173983,-0.07422253234881736,-0.05048278014543295,0.06928064574518876,0.09433362508101584,23,False,610.3029567170245,975.0,195.29694614944785,625.0,1954,5,0,False,False,True,False,False,False,False,False,True,False,False
aaronha01,1960,153,0.0,590,102,172,20,11,40,126.0,16.0,7.0,60,63.0,13.0,2.0,0.0,12.0,8.0,0.0,ML1,NL,1934.0,Hank,Aaron,180.0,72.0,664.0,0.29152542372881357,0.35240963855421686,0.5661016949152542,0.918511333469471,0.2745762711864406,0.26452905811623245,0.09036144578313253,0.09487951807228916,24.41211826868098,26.0,Hank Aaron,0.7344215351173983,-0.07422253234881736,-0.05048278014543295,0.06928064574518876,0.09433362508101584,23,False,634.7150749857055,1040.0,390.5938922988957,676.0,1954,6,1,False,False,True,False,False,False,False,False,True,False,False
aaronha01,1961,155,0.0,603,115,197,39,10,34,120.0,21.0,9.0,56,64.0,20.0,2.0,1.0,9.0,16.0,0.0,ML1,NL,1934.0,Hank,Aaron,180.0,72.0,671.0,0.32669983416252074,0.3805970149253731,0.593698175787728,0.9742951907131011,0.26699834162520725,0.31712062256809337,0.08345752608047691,0.09538002980625931,24.41211826868098,27.0,Hank Aaron,0.7344215351173983,-0.07422253234881736,-0.05048278014543295,0.06928064574518876,0.09433362508101584,23,False,659.1271932543865,918.0,512.6544836423006,729.0,1954,7,1,False,False,True,False,False,False,False,False,True,False,False
aaronha01,1962,156,0.0,592,127,191,28,6,45,128.0,15.0,7.0,66,73.0,14.0,3.0,0.0,6.0,14.0,0.0,ML1,NL,1934.0,Hank,Aaron,180.0,72.0,667.0,0.32263513513513514,0.38980509745127434,0.6182432432432432,1.0080483406945175,0.29560810810810806,0.30416666666666664,0.09895052473763119,0.10944527736131934,24.41211826868098,28.0,Hank Aaron,0.7344215351173983,-0.07422253234881736,-0.05048278014543295,0.06928064574518876,0.09433362508101584,23,False,683.5393115230675,1260.0,366.18177403021474,784.0,1954,8,1,False,False,True,False,False,False,False,False,True,False,False
aaronha01,1963,161,0.0,631,121,201,29,4,44,130.0,31.0,5.0,78,94.0,18.0,0.0,0.0,5.0,11.0,0.0,ML1,NL,1934.0,Hank,Aaron,180.0,72.0,714.0,0.3185419968304279,0.3907563025210084,0.5863708399366085,0.9771271424576169,0.26782884310618066,0.3152610441767068,0.1092436974789916,0.13165266106442577,24.41211826868098,29.0,Hank Aaron,0.7344215351173983,-0.07422253234881736,-0.05048278014543295,0.06928064574518876,0.09433362508101584,23,False,707.9514297917484,1276.0,756.7756663291104,841.0,1954,9,1,False,False,True,False,False,False,False,False,True,False,False
